,t,Ba,Zr,S,x,y,nBa,nZr,nS,Baat,Zrat,Sat,BZ,Ba/BZ,Baerr,Zrerr,Serr,BZerr
71,264.0,42.19,28.68,29.13,24,4,0.30722290591070944,0.31439094975006576,0.9084671760486512,20.078865076019927,20.547339862047966,59.3737950619321,0.9772002220641058,0.4942343274895822,0.6023659522805977,0.6164201958614389,1.781213851857963,0.010605191337624446
72,268.2,41.85,29.3,28.86,23,4,0.3047470635781747,0.3211874068227659,0.9000467799781694,19.97056408802299,21.04792616180383,58.981509750173174,0.9488138610189562,0.4868673607046594,0.5991169226406896,0.6314377848541148,1.769445292505195,0.010599284595994962
73,265.9,42.11,28.83,29.06,22,4,0.3066403547736425,0.3160352538805577,0.9062841104007485,20.05548942539684,20.66995290601242,59.27455766859073,0.9702726230964539,0.4924560244721802,0.6016646827619051,0.6200985871803726,1.7782367300577218,0.010604187164510993
74,263.2,41.73,29.59,28.68,21,4,0.3038732368725742,0.32436639480838375,0.8944331825978482,19.95656808363652,21.30243554404139,58.74099637232209,0.9368209584475738,0.48369001500193737,0.5986970425090955,0.6390730663212417,1.7622298911696626,0.010595315631267236
75,267.1,41.08,30.23,28.69,20,4,0.29914000888390485,0.33138209243181616,0.8947450491189772,19.612302592280344,21.7261672709186,58.661530136801055,0.9027042067623333,0.4744322336357193,0.5883690777684103,0.6517850181275581,1.7598459041040315,0.010578867122645774
76,261.0,41.29,30.09,28.62,19,4,0.3006692056187057,0.3298474085766903,0.8925619834710745,19.740885734942708,21.656624226881924,58.60249003817537,0.9115402995467202,0.47686167001703916,0.5922265720482812,0.6496987268064577,1.7580747011452609,0.010583887369895819
77,258.4,40.74,30.56,28.7,18,4,0.2966641665513701,0.3349995615188985,0.895056915640106,19.431463625879193,21.942426920012835,58.626109454107976,0.8855658353888152,0.469655219016103,0.5829439087763758,0.658272807600385,1.758783283623239,0.010567535239122298
78,252.5,40.7,30.53,28.77,17,4,0.2963728909828366,0.33467070069280014,0.8972399812880087,19.39253265728105,21.898468753662463,58.70899858905649,0.8855656929911,0.4696551789645231,0.5817759797184314,0.6569540626098739,1.7612699576716946,0.010567535135995818
79,251.5,40.83,30.35,28.82,16,4,0.2973195365805705,0.33269753573620975,0.8987993138936536,19.447694259580363,21.761771965362467,58.79053377505718,0.893663176442371,0.47192298374904135,0.5834308277874108,0.652853158960874,1.7637160132517153,0.010573156181882105
80,250.5,40.7,30.75,28.55,15,4,0.2963728909828366,0.337082346750855,0.8903789178231718,19.449156583219608,22.12067143406909,58.43017198271131,0.879229938439619,0.4678671409256443,0.5834746974965882,0.6636201430220727,1.7529051594813392,0.010562795577349673
81,250.7,40.65,30.84,28.51,14,4,0.2960087965221697,0.3380689292291502,0.8891314517386559,19.433233524101304,22.19451761617127,58.37224885972743,0.8755871094013752,0.46683361439865795,0.5829970057230391,0.6658355284851382,1.7511674657918228,0.01055993228272317
82,250.1,39.52,32.23,28.25,13,4,0.28778026171109833,0.35330614750504247,0.881022922189303,18.906674821142815,23.2116143180606,57.881710860796574,0.8145351099700041,0.44889465378460996,0.5672002446342844,0.696348429541818,1.7364513258238972,0.010495794277622957
83,244.1,39.81,31.94,28.25,12,4,0.28989200958296624,0.3501271595194247,0.881022922189303,19.058776298345904,23.0189001030268,57.9223235986273,0.827962075209659,0.45294269855937547,0.5717632889503771,0.690567003090804,1.737669707958819,0.010512653122856526
84,236.7,39.63,32.18,28.19,11,4,0.2885812695245655,0.3527580461282119,0.8791517230625293,18.979478482713947,23.200271303556264,57.820250213729786,0.8180714024583269,0.44996659721513793,0.5693843544814184,0.6960081391066879,1.7346075064118935,0.010500393937269018
85,230.9,40.02,31.66,28.33,10,4,0.29142120631776713,0.347057791809173,0.8835178543583346,19.14729362560141,22.80279300462816,58.04991336977044,0.83969071778686,0.4564303715121226,0.5744188087680423,0.6840837901388448,1.741497401093113,0.010526063138177201
86,234.4,39.43,32.6,27.97,9,4,0.287124891681898,0.3573620976935894,0.8722906595976923,18.929926339320353,23.560612060410737,57.50946160026891,0.8034564760364865,0.445509213397968,0.5678977901796106,0.706818361812322,1.7252838480080672,0.010480627286347036
87,231.0,39.62,32.5,27.88,8,4,0.2885084506324321,0.35626589493992805,0.8694838609075316,19.05279095717176,23.527420450183243,57.41978859264499,0.8098121507843996,0.44745646692305324,0.5715837287151527,0.7058226135054972,1.7225936577793497,0.010489469923492317
88,220.3,39.47,32.34,28.19,7,4,0.28741616725043145,0.35451197053407,0.8791517230625293,18.895534327197026,23.30659813855243,57.797867534250535,0.8107375522960223,0.44773885164528887,0.5668660298159107,0.6991979441565729,1.733936026027516,0.010490725543222286
89,195.1,39.06,32.92,28.01,6,4,0.2844305926729631,0.3608699465053056,0.8735381256822081,18.726846982071756,23.759597043077367,57.51355597485088,0.7881803276427215,0.44077228423698434,0.5618054094621526,0.712787911292321,1.7254066792455263,0.010457773178410502
90,171.8,39.26,33.03,27.71,5,4,0.28588697051563056,0.36207576953433307,0.8641821300483394,18.906056963777903,23.944515945141877,57.14942709108022,0.7895777474513436,0.44120896595626186,0.5671817089133371,0.7183354783542563,1.7144828127324065,0.010459959692467949
91,148.2,38.43,33.95,27.62,4,4,0.2798430024685604,0.3721608348680172,0.8613753313581788,18.491268299266768,24.591380836105643,56.91735086462759,0.7519410326124287,0.4292045329237837,0.554738048978003,0.7377414250831692,1.7075205259388277,0.010393960644686343
92,121.0,39.48,32.45,28.07,3,4,0.2874889861425648,0.35571779356309746,0.8754093248089818,18.93098494661674,23.42381280598801,57.645202247395254,0.8081939991331072,0.446961996069324,0.5679295483985022,0.7027143841796403,1.7293560674218575,0.010487254968376714
93,100.6,38.51,33.96,27.53,2,4,0.28042555360562743,0.3722704551433833,0.8585685326680181,18.555689352883775,24.63304371545209,56.81126693166413,0.7532844729717244,0.4296419004355563,0.5566706805865133,0.7389913114635627,1.7043380079499237,0.01039657988067143
97,56.7,47.13,26.33,26.54,45,6,0.3431954386245968,0.28863018503902477,0.8276937470762514,23.51427774820289,19.77570087971561,56.710021372081506,1.1890490198667003,0.5431806273297187,0.7054283324460867,0.5932710263914683,1.7013006411624452,0.01052749485758146
98,86.2,48.28,24.12,27.6,44,6,0.3515696112199349,0.2644041041831097,0.8607515983159209,23.807380286219015,17.904758706765712,58.28786100701527,1.3296677534795744,0.5707542423135628,0.7142214085865705,0.5371427612029713,1.748635830210458,0.010394208217754308
99,113.1,45.68,26.47,27.85,43,6,0.3326366992652574,0.29016486889415066,0.8685482613441449,22.304404552484307,19.456526104994563,58.239069342521134,1.1463713733953094,0.5340974015982535,0.6691321365745292,0.5836957831498368,1.7471720802756339,0.010557275385763822
100,141.6,46.97,25.19,27.84,42,6,0.34203033635046276,0.2761334736472858,0.8682363948230158,23.010649167106784,18.577330166648018,58.41202066624519,1.2386413419307112,0.5533004857591202,0.6903194750132035,0.5573199049994405,1.7523606199873556,0.010486070765850997
101,167.0,46.55,24.91,28.54,41,6,0.338971942880861,0.2730641059370341,0.8900670513020428,22.566489800453464,18.1787858579901,59.25472434155644,1.2413639709901112,0.5538431004767802,0.6769946940136039,0.545363575739703,1.7776417302466931,0.010483604192696507
102,191.3,46.69,24.85,28.47,40,6,0.33999140737072825,0.2724063842848373,0.8878839856541401,22.661836763784358,18.157014795801523,59.18114844041411,1.248103667846572,0.5551806554553214,0.6798551029135307,0.5447104438740457,1.7754344532124233,0.010477417350564337
103,222.7,44.91,27.48,27.61,39,6,0.3270296445709875,0.30123651670612994,0.8610634648370498,21.958177614732982,20.22631601656181,57.81550636870521,1.0856241738116363,0.5205272299023922,0.6587453284419894,0.6067894804968543,1.7344651910611562,0.010588724622909154
104,251.6,47.44,25.19,27.37,38,6,0.3454528242807314,0.2761334736472858,0.8535786683299549,23.417911364654774,18.718819926136753,57.86326870920847,1.2510356666210973,0.5557600375559382,0.7025373409396432,0.5615645977841026,1.735898061276254,0.010474690306213853
105,262.7,45.96,26.04,28.0,37,6,0.3346756282449919,0.285451197053407,0.8732262591610791,22.41101797878754,19.114782701019873,58.47419932019259,1.172444297658262,0.539689003267919,0.6723305393636262,0.5734434810305962,1.7542259796057775,0.01053977092127731
106,271.3,45.64,26.24,28.12,36,6,0.3323454236967239,0.2876436025607296,0.8769686574146266,22.201390682031242,19.21521267422414,58.58339664374462,1.1554069714676043,0.5360504938336051,0.6660417204609372,0.5764563802267242,1.7575018993123386,0.010551462742742736
107,275.9,44.5,27.48,28.01,35,6,0.32404406999351915,0.30123651670612994,0.8735381256822081,21.619964263627484,20.098262332701864,58.28177340367064,1.075713109209927,0.5182378549506645,0.6485989279088245,0.6029478699810559,1.7484532021101191,0.010592489873786054
108,271.2,44.19,27.74,28.07,34,6,0.3217866843373845,0.3040866438656494,0.8754093248089818,21.4341172657784,20.255122728259188,58.3107600059624,1.0582072275412246,0.5141402738175106,0.643023517973352,0.6076536818477756,1.7493228001788719,0.010598118670444372
109,272.5,44.0,27.88,28.12,33,6,0.3204031253868504,0.3056213277207752,0.8769686574146266,21.31767092901167,20.334180215542005,58.348148855446325,1.0483663812873043,0.511806086481684,0.63953012787035,0.6100254064662601,1.7504444656633897,0.01060068816916363
110,270.9,44.36,27.33,28.31,32,6,0.32302460550365186,0.29959221257563795,0.8828941213160767,21.456144691541258,19.89970346518759,58.64415184327115,1.078214292442925,0.5188176678236065,0.6436843407462377,0.5969911039556276,1.7593245552981345,0.01059157833101671
